#Device ID ; Time (us) ; Current (mA) ; Voltage (V) ; PC ; Function Name ; File Name ; Line number
000440245691; 31679301; -1.6350347E-4; 3.3206892; -1; ; ; 0
000440245691; 31689301; 4.1470744E-4; 3.32688; -1; ; ; 0
000440245691; 31699301; 0.0010899645; 3.32688; -1; ; ; 0
000440245691; 31709301; 0.001408563; 3.32688; -1; ; ; 0
000440245691; 31719301; 0.0016599053; 3.3228426; -1; ; ; 0
000440245691; 31729301; 0.0015438528; 3.3228426; -1; ; ; 0
000440245691; 31739301; 5.028455E-4; 3.3263416; -1; ; ; 0
000440245691; 31749301; 6.123653E-4; 3.3263416; -1; ; ; 0
000440245691; 31759301; 0.0014103926; 3.3263416; -1; ; ; 0
000440245691; 31769301; 0.0012465931; 3.3233807; -1; ; ; 0
000440245691; 31779301; 0.0012259408; 3.3233807; -1; ; ; 0
000440245691; 31789301; 0.001025497; 3.3239193; -1; ; ; 0
000440245691; 31799301; 8.9007133E-4; 3.3239193; -1; ; ; 0
000440245691; 31809301; 0.0010074953; 3.3239193; -1; ; ; 0
000440245691; 31819301; 0.0012421148; 3.32365; -1; ; ; 0
000440245691; 31829301; 0.0013207935; 3.32365; -1; ; ; 0
000440245691; 31839301; 0.0010864476; 3.3214967; -1; ; ; 0
000440245691; 31849301; 0.0013180976; 3.3214967; -1; ; ; 0
000440245691; 31859301; 0.0014210371; 3.3214967; -1; ; ; 0
000440245691; 31869301; 0.0011527443; 3.3279567; -1; ; ; 0
000440245691; 31879301; 0.0017964761; 3.3279567; -1; ; ; 0
000440245691; 31889301; 0.0017797067; 3.3279567; -1; ; ; 0
000440245691; 31899301; 0.0010521334; 3.3193436; -1; ; ; 0
000440245691; 31909301; 0.0011700144; 3.3193436; -1; ; ; 0
000440245691; 31919301; 0.0010119268; 3.3260727; -1; ; ; 0
000440245691; 31929301; 8.111179E-4; 3.3260727; -1; ; ; 0
000440245691; 31939301; 0.0011771426; 3.3260727; -1; ; ; 0
000440245691; 31949301; 0.0014496386; 3.3225732; -1; ; ; 0
000440245691; 31959301; 0.0013999275; 3.3225732; -1; ; ; 0
000440245691; 31969301; 0.0013865865; 3.3260727; -1; ; ; 0
000440245691; 31979301; 0.0011311318; 3.3260727; -1; ; ; 0
000440245691; 31989301; 8.00791E-4; 3.3260727; -1; ; ; 0
000440245691; 31999301; 0.0016613684; 3.3249958; -1; ; ; 0
000440245691; 32009301; 0.0016737045; 3.3249958; -1; ; ; 0
000440245691; 32019301; 0.0010892344; 3.3258033; -1; ; ; 0
000440245691; 32029301; 0.0015613071; 3.3258033; -1; ; ; 0
000440245691; 32039301; 0.0014622505; 3.3258033; -1; ; ; 0
000440245691; 32049301; 0.0013355508; 3.32365; -1; ; ; 0
000440245691; 32059301; 0.0016616429; 3.32365; -1; ; ; 0
000440245691; 32069301; 0.0014308621; 3.3244576; -1; ; ; 0
000440245691; 32079301; 0.0015451339; 3.3244576; -1; ; ; 0
000440245691; 32089301; 0.0013727443; 3.3244576; -1; ; ; 0
000440245691; 32099301; 9.3151303E-4; 3.327149; -1; ; ; 0
000440245691; 32109301; 0.0010322144; 3.327149; -1; ; ; 0
000440245691; 32119301; 0.0015330708; 3.327149; -1; ; ; 0
000440245691; 32129301; 0.0019724749; 3.3214967; -1; ; ; 0
000440245691; 32139301; 0.002028582; 3.3214967; -1; ; ; 0
000440245691; 32149301; 0.0012770679; 3.3233807; -1; ; ; 0
000440245691; 32159301; 6.943795E-4; 3.3233807; -1; ; ; 0
000440245691; 32169301; 7.9480634E-4; 3.3233807; -1; ; ; 0
000440245691; 32179301; 9.3534944E-4; 3.3231118; -1; ; ; 0
000440245691; 32189301; 0.0015938851; 3.3231118; -1; ; ; 0
000440245691; 32199301; 0.0012313782; 3.3258033; -1; ; ; 0
000440245691; 32209301; 7.430403E-4; 3.3258033; -1; ; ; 0
000440245691; 32219301; 0.0016874591; 3.3258033; -1; ; ; 0
000440245691; 32229301; 0.0017524296; 3.327149; -1; ; ; 0
000440245691; 32239301; 7.092738E-4; 3.327149; -1; ; ; 0
000440245691; 32249301; 7.77992E-4; 3.3212276; -1; ; ; 0
000440245691; 32259301; 0.0017458952; 3.3212276; -1; ; ; 0
000440245691; 32269301; 0.0013900591; 3.3212276; -1; ; ; 0
000440245691; 32279301; 8.674999E-4; 3.3206892; -1; ; ; 0
000440245691; 32289301; 0.0013887356; 3.3206892; -1; ; ; 0
000440245691; 32299301; 0.0012783933; 3.3206892; -1; ; ; 0
000440245691; 32309301; 0.0011929981; 3.32365; -1; ; ; 0
